pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
7.2,2,14,0.1,1,1,16.91411171,-3.14E-27,,,,,,,,
7.7,2,13.9,0.1,1,1,17.09961359,-5.74E-30,,,,,,,,
7.6,2,13.9,0.1,1,1,17.04774126,-2.34E-30,,,,,,,,
7.5,2,13.9,0.1,1,1,16.99594062,1.82E-30,,,,,,,,
7.4,2,13.9,0.1,1,1,16.94420436,1.09E-26,,,,,,,,
7.8,2,13.8,0.1,1,1,17.08164817,-4.13E-30,,,,,,,,
7.7,2,13.8,0.1,1,1,17.02924051,-4.74E-28,,,,,,,,
7.6,2,13.8,0.1,1,1,16.9769024,1.91E-31,,,,,,,,
7.5,2,13.8,0.1,1,1,16.92463371,-2.16E-28,,,,,,,,
7.9,2,13.7,0.1,1,1,17.0652343,-9.12E-27,,,,,,,,
7.8,2,13.7,0.1,1,1,17.01227478,-1.49E-29,,,,,,,,
7.7,2,13.7,0.1,1,1,16.95938533,6.82E-28,,,,,,,,
7.6,2,13.7,0.1,1,1,16.90656659,-6.95E-29,,,,,,,,
8,2,13.6,0.1,1,1,17.0504179,1.38E-30,,,,,,,,
7.9,2,13.6,0.1,1,1,16.99688308,-4.41E-27,,,,,,,,
7.8,2,13.6,0.1,1,1,16.94343588,5.83E-28,,,,,,,,
8.2,2,13.5,0.1,1,1,17.09139755,1.32E-27,,,,,,,,
8.1,2,13.5,0.1,1,1,17.03721127,-1.39E-32,,,,,,,,
8,2,13.5,0.1,1,1,16.98312942,-3.23E-20,,,,,,,,
7.9,2,13.5,0.1,1,1,16.92909427,4.90E-28,,,,,,,,
8.3,2,13.4,0.1,1,1,17.0805057,-1.93E-28,,,,,,,,
8.2,2,13.4,0.1,1,1,17.02572417,-5.87E-30,,,,,,,,
8.1,2,13.4,0.1,1,1,16.9710484,1.06E-27,,,,,,,,
8,2,13.4,0.1,1,1,16.91642894,-5.66E-30,,,,,,,,
8.4,2,13.3,0.1,1,1,17.07137287,1.67E-30,,,,,,,,
8.3,2,13.3,0.1,1,1,17.01598361,-3.77E-29,,,,,,,,
8.2,2,13.3,0.1,1,1,16.96068446,-1.47E-29,,,,,,,,
8.1,2,13.3,0.1,1,1,16.90547383,8.74E-28,,,,,,,,
8.5,2,13.2,0.1,1,1,17.06402097,2.69E-29,,,,,,,,
